   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   20800 -7.08716216E-05 -3.04526102E-05  2.67057525E+00  2.67057525E+00  0.00000000E+00
   20900 -7.09360613E-05 -2.98384430E-05  2.67057609E+00  2.67057610E+00  0.00000000E+00
   21000 -6.82092900E-05 -2.79017379E-05  2.67057562E+00  2.67057562E+00  0.00000000E+00
   21100 -6.96929878E-05 -2.73559572E-05  2.67057559E+00  2.67057559E+00  0.00000000E+00
   21200 -6.69676411E-05 -2.78562553E-05  2.67057536E+00  2.67057536E+00  0.00000000E+00
   21300 -7.29222657E-05 -2.97564087E-05  2.67057610E+00  2.67057610E+00  0.00000000E+00
   21400 -7.15319805E-05 -3.13121149E-05  2.67057717E+00  2.67057717E+00  0.00000000E+00
   21500 -7.08145430E-05 -2.93618883E-05  2.67057592E+00  2.67057592E+00  0.00000000E+00
   21600 -6.97318842E-05 -3.43277816E-05  2.67057526E+00  2.67057526E+00  0.00000000E+00
   21700 -6.50697401E-05 -3.41340101E-05  2.67057548E+00  2.67057548E+00  0.00000000E+00
   21800 -6.22062088E-05 -3.91395899E-05  2.67057474E+00  2.67057474E+00  0.00000000E+00
   21900 -5.56604136E-05 -3.71189082E-05  2.67057404E+00  2.67057404E+00  0.00000000E+00
   22000 -5.64900111E-05 -3.98162018E-05  2.67057530E+00  2.67057530E+00  0.00000000E+00
   22100 -6.14161660E-05 -3.82661945E-05  2.67057670E+00  2.67057670E+00  0.00000000E+00
   22200 -5.35477899E-05 -2.74065218E-05  2.67057752E+00  2.67057752E+00  0.00000000E+00
   22300 -5.08147194E-05 -2.72187682E-05  2.67057587E+00  2.67057587E+00  0.00000000E+00
   22400 -4.41274785E-05 -3.03752991E-05  2.67057763E+00  2.67057763E+00  0.00000000E+00
   22500 -4.75999075E-05 -2.67006402E-05  2.67057843E+00  2.67057843E+00  0.00000000E+00
   22600 -4.11418472E-05 -2.79236948E-05  2.67058073E+00  2.67058073E+00  0.00000000E+00
   22700 -4.07337850E-05 -3.27713077E-05  2.67058146E+00  2.67058146E+00  0.00000000E+00
   22800 -4.06485647E-05 -2.78037816E-05  2.67058257E+00  2.67058257E+00  0.00000000E+00
   22900 -4.69990573E-05 -1.44343838E-05  2.67058443E+00  2.67058443E+00  0.00000000E+00
   23000 -4.27668821E-05 -1.44876449E-05  2.67058480E+00  2.67058480E+00  0.00000000E+00
   23100 -4.21944340E-05 -1.49966489E-05  2.67058564E+00  2.67058564E+00  0.00000000E+00
   23200 -4.29623943E-05 -1.43383455E-05  2.67058845E+00  2.67058845E+00  0.00000000E+00
   23300 -4.54584559E-05 -1.52182810E-05  2.67058947E+00  2.67058948E+00  0.00000000E+00
   23400 -4.02887646E-05 -1.38468729E-05  2.67059192E+00  2.67059192E+00  0.00000000E+00
   23500 -3.89215693E-05 -2.54230114E-05  2.67059254E+00  2.67059255E+00  0.00000000E+00
   23600 -4.70473201E-05 -2.60984017E-05  2.67059419E+00  2.67059419E+00  0.00000000E+00
   23700 -4.15166151E-05 -2.33290348E-05  2.67059575E+00  2.67059575E+00  0.00000000E+00
   23800 -4.45002769E-05 -2.12660779E-05  2.67059733E+00  2.67059733E+00  0.00000000E+00
   23900 -4.70835385E-05 -2.30729500E-05  2.67059732E+00  2.67059732E+00  0.00000000E+00
   24000 -5.40391141E-05 -2.75783513E-05  2.67059791E+00  2.67059792E+00  0.00000000E+00
   24100 -5.30426449E-05 -2.93075685E-05  2.67060044E+00  2.67060044E+00  0.00000000E+00
   24200 -5.38828600E-05 -2.17279170E-05  2.67059922E+00  2.67059922E+00  0.00000000E+00
   24300 -5.95973825E-05 -2.47980150E-05  2.67059974E+00  2.67059974E+00  0.00000000E+00
   24400 -5.44529518E-05 -2.29923309E-05  2.67060061E+00  2.67060061E+00  0.00000000E+00
   24500 -5.88315445E-05 -1.67599536E-05  2.67060094E+00  2.67060094E+00  0.00000000E+00
   24600 -6.11680151E-05 -2.20245626E-05  2.67060194E+00  2.67060194E+00  0.00000000E+00
   24700 -5.62500975E-05 -2.14910445E-05  2.67060282E+00  2.67060282E+00  0.00000000E+00
   24800 -6.03718534E-05 -2.74476205E-05  2.67060384E+00  2.67060384E+00  0.00000000E+00
   24900 -5.85354601E-05 -2.43662320E-05  2.67060359E+00  2.67060359E+00  0.00000000E+00
   25000 -5.32189150E-05 -2.46337037E-05  2.67060367E+00  2.67060368E+00  0.00000000E+00
   25100 -6.01233765E-05 -2.96834897E-05  2.67060280E+00  2.67060280E+00  0.00000000E+00
   25200 -5.04801361E-05 -3.24963305E-05  2.67060307E+00  2.67060307E+00  0.00000000E+00
   25300 -5.04234423E-05 -2.85978968E-05  2.67060433E+00  2.67060433E+00  0.00000000E+00
   25400 -4.80604644E-05 -2.60455615E-05  2.67060379E+00  2.67060379E+00  0.00000000E+00
   25500 -5.18933147E-05 -2.90668519E-05  2.67060496E+00  2.67060496E+00  0.00000000E+00
   25600 -4.63700032E-05 -3.40030889E-05  2.67060586E+00  2.67060586E+00  0.00000000E+00
   25700 -4.56958961E-05 -2.90815244E-05  2.67060340E+00  2.67060340E+00  0.00000000E+00
   25800 -4.82774791E-05 -3.08382601E-05  2.67060481E+00  2.67060481E+00  0.00000000E+00
   25900 -5.09524639E-05 -3.54137903E-05  2.67060525E+00  2.67060525E+00  0.00000000E+00
   26000 -4.79945793E-05 -3.19912134E-05  2.67060611E+00  2.67060611E+00  0.00000000E+00
   26100 -4.65390041E-05 -3.02222845E-05  2.67060529E+00  2.67060529E+00  0.00000000E+00
   26200 -4.75300808E-05 -2.39923549E-05  2.67060487E+00  2.67060487E+00  0.00000000E+00
   26300 -5.07711256E-05 -2.90623257E-05  2.67060598E+00  2.67060598E+00  0.00000000E+00
   26400 -5.42147067E-05 -2.63072365E-05  2.67060714E+00  2.67060714E+00  0.00000000E+00
   26500 -5.69966713E-05 -2.34453868E-05  2.67060654E+00  2.67060654E+00  0.00000000E+00
   26600 -5.91888894E-05 -2.67783325E-05  2.67060667E+00  2.67060667E+00  0.00000000E+00
   26700 -5.19420956E-05 -3.18530806E-05  2.67060654E+00  2.67060654E+00  0.00000000E+00
   26800 -4.77367154E-05 -3.02751390E-05  2.67060605E+00  2.67060605E+00  0.00000000E+00
   26900 -5.00259062E-05 -3.08778654E-05  2.67060566E+00  2.67060566E+00  0.00000000E+00
   27000 -5.44566321E-05 -2.75670638E-05  2.67060424E+00  2.67060424E+00  0.00000000E+00
   27100 -5.93842456E-05 -3.19922323E-05  2.67060415E+00  2.67060415E+00  0.00000000E+00
